objectid,cod_srv,altra_denominazione,cae_nome,tipomisura,localita,sensore_principale,time,value,trend,scala_fatta,attivo,ss_cod_staz,cae_station_id,zero,s1,s2,s3,nota_m_slm,note,GlobalID,x,y
1,F00,Rio Posada a Torpè,Posada a Torpè,Alveo,Ponte S. Martino strada comunale,58608,2023-01-02T15:00:00,-0.533,-0.001,SI,,NU004B620,758200,5.26,2.5,3.8,4.7,[m],,c4b2ba35-12a4-427b-bbf8-edf0314b92c4,9.64770443141156,40.6338077649236
2,F01,,Rio Lanessi a Segariu,Alveo,Loc. S. Antonio Ponte SP 43,58585,2023-01-02T15:00:00,0.494,-0.032,,,CA025B623,758800,101.6,1.7,2.2,3.7,[m],,5342d927-62d7-4200-b705-9cd77fe4798d,8.97766803288355,39.5658467694135
3,F02,,Riu Foddeddu a Tortolì,Alveo,Ponte Via Garibaldi Tortoli,58573,2023-01-02T15:00:00,0.203,-0.002,,,NU068B622,758700,11.78,1,2,3,[m],,19ba112f-33ba-408e-b2cb-d79b8e412806,9.65561934379528,39.9243501235773
4,F03,,Riu Pramaera a Lotzorai,Alveo,Loc. Sa Pompa Ponte SS 125,58624,2023-01-02T15:00:00,0.121,-0.002,,,NU062B626,758600,0.99,3.4,4.3,5.5,[m],,290a5429-7b98-407c-bf1c-b3ce2628c87c,9.66388683009257,39.9724412926242
5,F04,,Riu Quirra a Tertenia,Alveo,Ponte strada comuna a Sarrala,58581,2023-01-02T15:00:00,0.406,0.039,,,NU095B625,758500,95.47,1.5,2.5,3,[m],,faf89b0e-8c42-4e19-bdd9-f063f9941053,9.58516685244327,39.6906859087123
6,F05,,Tirso a Sili,Alveo,Pezzu Mannu Ponte SS 131 - Silì,58616,2023-01-02T15:00:00,0.691,-0.001,SI,,OR046B628,757900,2.4,4.13,5.1,6.46,[m],,1e1aedc9-566b-43f7-8e7e-63858fa3bbff,8.63130553337393,39.9257109893045
7,F06,Riu Murmurei a traversa Santa Lucia,Riu Gutturu Mannu,Traversa,Gutturu Mannu a traversa Santa Lucia,62111,2023-01-02T15:00:00,1.328,0,,,CA074B622,759200,51.51,1.5,1.84,2.5,[m],,66ea0d61-b7c1-4c75-a771-19fec9682496,8.93936335423017,39.198744388703
8,F07,Riu Picocca a Monte Acuto,Riu Picocca a M.te Acuto,Alveo,Ponte di Monte Acuto SS 125,58604,2023-01-02T15:00:00,0.555,0,,,CA049B630,757800,24.85,3.96,6.21,7.8,[m],,728bffef-505c-48f9-b6ef-f8d9bcc6bb46,9.49134085099256,39.3538220436594
9,F08,Rio Cixerri a Villamassargia,Riu Cixerri a Villamassargia,Alveo,Ponte SP 86,58612,2023-01-02T15:00:00,-0.073,-0.016,,,CA078B631,759000,103.54,0.83,1.81,2.78,[m],,28ddac60-ce93-4d57-afd1-7ab0d5de870d,8.64202041308844,39.2821006955023
10,F10,Riu Stanali a Pramas,Rio Stanali a Pramas,Alveo,Ponte Cuile Pala de Trigu Strada Comunale,64723,2023-01-02T14:45:00,0.313,-0.004,,,CA029B639,854600,78.23,2.94,4.29,5.62,[m],,f2adceb6-c4f9-4d46-9675-79e70a92e4c1,9.38724179395865,39.5634276796721
11,F15,Flumini Mannu di Pabillonis a Serra Pontis,Flumini Mannu a Pabillonis,Alveo,Ponte Serra Ponti Strada Comunale,62716,2023-01-02T15:00:00,0.227,0.012,SI,,CA020B623,807600,18.01,1.42,2.14,3.71,[m],,7a5980ed-19b5-4f47-b189-3fe239700868,8.69648712808328,39.6451310376615
12,F19,,Flumini Mannu a Las Plassas,Alveo,Ponte Via IV Novembre,58577,2023-01-02T15:00:00,0.622,-0.001,,,CA008B624,758400,141.57,1,1.8,2.6,[m],,a656142b-72cb-4c6d-9d88-48f9a0d6c4eb,8.98646720591571,39.6763091974794
13,F20,,Flumini Mannu a Villasor,Alveo,Ponte Ponti Nou SS 196,58620,,,,,NO,CA059B627,758300,18.47,3.8,4.8,5.5,[m],,db46c2a8-ccd8-497d-a0ce-df304ade9085,8.92873269053771,39.3839154711832
